                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.81938,                0.81595,                 0.9263,                0.86431,                0.39135,                0.49131,                0.41258,                0.30023,                0.38023,                0.44134,                0.36205,                0.19049,                0.84004,                 6.3919,                 7.1964,                0.91921,              0.0010488,              0.0010488,              0.0010488
                     25,                0.83631,                0.86422,                0.79181,                0.87001,                0.37442,                0.50207,                0.44942,                0.32905,                0.34012,                0.47757,                0.38436,                0.18178,                0.85797,                 5.8793,                 3.5491,                0.91686,               0.001087,               0.001087,               0.001087
                     26,                0.84272,                 1.0705,                 0.8167,                0.87041,                0.68789,                0.50604,                0.66282,                0.49685,                0.65289,                0.47895,                0.58972,                0.31637,                0.85462,                 5.6601,                 1.5951,                0.93166,              0.0011247,              0.0011247,              0.0011247
                     27,                0.79782,                0.83855,                 0.8482,                0.86343,                0.01312,                 0.1746,                0.01042,                0.00471,                0.00454,                 0.0754,                0.00245,                0.00107,                 2.1047,                  146.7,                    inf,                 1.4009,               0.001162,               0.001162,               0.001162
                     28,                0.85416,                 1.0012,                0.86874,                0.87373,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 1.3234,                 56.044,                 33.309,                 1.0545,              0.0011987,              0.0011987,              0.0011987
                     29,                0.89481,                0.95655,                0.86074,                0.87949,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 1.3234,                 56.044,                 33.309,                 1.0545,              0.0012349,              0.0012349,              0.0012349
                     30,                0.82213,                 0.9018,                  0.872,                0.85823,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 3.0411,                 69.214,                    inf,                 2.8429,              0.0012707,              0.0012707,              0.0012707
                     31,                0.92328,                0.99389,                0.90947,                0.88451,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 3.8071,                 2724.2,                    inf,                 22.748,              0.0013059,              0.0013059,              0.0013059
                     32,                0.86925,                0.92223,                0.90166,                0.88296,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 4.0428,                 1492.3,                    inf,                 17.949,              0.0013406,              0.0013406,              0.0013406
                     33,                 0.8176,                0.86063,                0.87844,                  0.837,                0.19468,                0.45324,                0.13115,                0.07533,                0.12743,                0.22084,                0.03127,                0.01259,                 4.0428,                 1492.3,                    inf,                 17.949,              0.0013749,              0.0013749,              0.0013749
