                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.80491,                0.86461,                0.72031,                  0.878,                0.76624,                 0.7256,                0.82038,                0.63641,                0.77051,                0.72956,                0.82839,                0.48233,                0.86295,                 1.2295,                 0.8605,                0.92981,             0.00089134,             0.00089134,             0.00089134
                     97,                0.73514,                0.72456,                0.65702,                0.84996,                0.76624,                 0.7256,                0.82038,                0.63641,                0.77051,                0.72956,                0.82839,                0.48233,                0.86295,                 1.2295,                 0.8605,                0.92981,             0.00088309,             0.00088309,             0.00088309
                     98,                0.72221,                0.74018,                0.74456,                0.85819,                0.74432,                0.73999,                0.81176,                0.63921,                0.74774,                0.74793,                0.82653,                0.48997,                0.85665,                 1.1709,                0.88424,                0.93615,             0.00087484,             0.00087484,             0.00087484
                     99,                0.75264,                0.79734,                0.70092,                0.85271,                0.74739,                0.74281,                0.83197,                0.66004,                0.77902,                0.72365,                 0.8356,                0.50718,                0.84869,                 1.1498,                0.87208,                0.92824,             0.00086659,             0.00086659,             0.00086659
                    100,                0.73847,                0.78886,                0.69988,                0.84821,                0.74707,                0.73861,                0.84387,                0.66884,                0.78303,                0.75079,                0.85628,                 0.5361,                0.83233,                 1.1504,                0.81628,                0.92761,             0.00085834,             0.00085834,             0.00085834
                    101,                0.73159,                 0.7862,                0.68983,                0.84036,                0.74707,                0.73861,                0.84387,                0.66884,                0.78303,                0.75079,                0.85628,                 0.5361,                0.83233,                 1.1504,                0.81628,                0.92761,             0.00085009,             0.00085009,             0.00085009
                    102,                0.68566,                0.74586,                0.68323,                0.83624,                0.78232,                0.77727,                0.86771,                0.70349,                0.78722,                0.78124,                0.87259,                0.58045,                0.77215,                  1.108,                0.81401,                0.91872,             0.00084184,             0.00084184,             0.00084184
                    103,                0.73626,                0.81067,                0.69907,                0.84664,                0.83221,                0.78001,                0.88191,                0.73491,                 0.8204,                0.77622,                0.87996,                0.57551,                0.71436,                 1.1691,                0.76789,                 0.8951,             0.00083358,             0.00083358,             0.00083358
                    104,                0.71823,                0.79981,                0.68858,                0.84226,                0.74593,                0.86008,                0.89737,                0.74407,                0.74593,                0.86008,                0.89228,                0.55643,                0.70659,                 1.1772,                0.69126,                 0.8936,             0.00082533,             0.00082533,             0.00082533
                    105,                0.68296,                0.77174,                0.72276,                0.83679,                0.74593,                0.86008,                0.89737,                0.74407,                0.74593,                0.86008,                0.89228,                0.55643,                0.70659,                 1.1772,                0.69126,                 0.8936,             0.00081708,             0.00081708,             0.00081708
                    106,                0.64817,                0.70172,                0.69196,                0.83078,                0.77533,                0.81042,                0.87993,                0.73292,                0.78883,                0.81555,                0.88876,                0.58155,                0.70771,                 1.1451,                 0.7043,                0.88901,             0.00080883,             0.00080883,             0.00080883
                    107,                0.73568,                0.79814,                0.67572,                0.85208,                0.85254,                0.79221,                0.89854,                0.73963,                0.85757,                0.78749,                0.90273,                0.61965,                 0.7188,                 1.1271,                 0.6627,                0.88777,             0.00080058,             0.00080058,             0.00080058
                    108,                0.72418,                0.76178,                0.68072,                0.84172,                0.83802,                0.84173,                0.90398,                0.75354,                0.88409,                0.78951,                0.91019,                0.61421,                0.69229,                 1.1375,                0.66185,                0.88083,             0.00079233,             0.00079233,             0.00079233
                    109,                0.70122,                0.77903,                0.69721,                0.84891,                0.83802,                0.84173,                0.90398,                0.75354,                0.88409,                0.78951,                0.91019,                0.61421,                0.69229,                 1.1375,                0.66185,                0.88083,             0.00078407,             0.00078407,             0.00078407
                    110,                0.75654,                0.81889,                0.68074,                0.85682,                0.82178,                0.82563,                0.90139,                0.74757,                0.83258,                0.84183,                0.90782,                0.58411,                0.69483,                   1.11,                0.68357,                0.88423,             0.00077582,             0.00077582,             0.00077582
                    111,                0.67054,                0.67699,                0.65231,                0.83327,                0.91561,                0.77963,                0.90128,                0.74324,                0.91907,                0.76755,                 0.9023,                0.58591,                0.69418,                 1.0896,                0.66986,                0.88385,             0.00076757,             0.00076757,             0.00076757
                    112,                 0.7282,                 0.7053,                0.64591,                0.84153,                0.90949,                0.75636,                0.89773,                0.74105,                0.90517,                 0.7524,                0.89526,                0.59256,                0.66693,                 1.0808,                0.66354,                0.88315,             0.00075932,             0.00075932,             0.00075932
                    113,                0.63828,                0.67102,                 0.6419,                0.82557,                0.90949,                0.75636,                0.89773,                0.74105,                0.90517,                 0.7524,                0.89526,                0.59256,                0.66693,                 1.0808,                0.66354,                0.88315,             0.00075107,             0.00075107,             0.00075107
                    114,                0.71462,                0.84017,                0.69231,                0.84058,                0.87592,                0.75058,                0.88415,                 0.7302,                0.87592,                0.75058,                0.88632,                0.58433,                0.67652,                 1.1012,                0.68915,                0.88293,             0.00074282,             0.00074282,             0.00074282
                    115,                0.70085,                0.77921,                0.60703,                0.85419,                0.85042,                0.73551,                0.88118,                0.72895,                0.84921,                0.73551,                0.88293,                0.58961,                0.68266,                 1.0817,                0.70288,                0.88677,             0.00073456,             0.00073456,             0.00073456
                    116,                0.69838,                0.77765,                0.63492,                0.82971,                0.73887,                0.86594,                0.87482,                0.71798,                0.73887,                0.86594,                0.87634,                0.56243,                0.70301,                 1.0838,                0.72986,                0.89971,             0.00072631,             0.00072631,             0.00072631
                    117,                0.65402,                 0.7637,                0.62054,                0.83313,                0.73887,                0.86594,                0.87482,                0.71798,                0.73887,                0.86594,                0.87634,                0.56243,                0.70301,                 1.0838,                0.72986,                0.89971,             0.00071806,             0.00071806,             0.00071806
                    118,                0.59303,                0.65001,                0.60684,                0.82912,                0.79448,                0.77349,                0.87794,                0.73245,                0.79448,                0.77349,                0.88347,                0.57178,                0.69192,                 1.0802,                0.84555,                 0.8942,             0.00070981,             0.00070981,             0.00070981
                    119,                0.70604,                0.76421,                0.68719,                0.82224,                 0.8332,                0.75445,                0.87612,                0.73666,                0.83875,                0.75842,                0.88302,                 0.5697,                0.68856,                 1.0868,                 0.8501,                0.88668,             0.00070156,             0.00070156,             0.00070156
                    120,                0.69244,                0.71786,                 0.6649,                 0.8354,                0.80393,                0.79831,                 0.8766,                0.73478,                0.80393,                0.79831,                0.88343,                0.57767,                0.68012,                 1.1026,                0.77252,                0.89085,             0.00069331,             0.00069331,             0.00069331
                    121,                0.70136,                0.75579,                 0.6362,                0.83502,                0.80393,                0.79831,                 0.8766,                0.73478,                0.80393,                0.79831,                0.88343,                0.57767,                0.68012,                 1.1026,                0.77252,                0.89085,             0.00068505,             0.00068505,             0.00068505
                    122,                0.65773,                0.68117,                0.65278,                 0.8276,                0.81503,                 0.7519,                0.87048,                0.72689,                 0.8239,                0.75983,                0.87815,                0.56706,                0.68219,                 1.0707,                0.73891,                0.88714,              0.0006768,              0.0006768,              0.0006768
                    123,                0.69651,                0.69157,                0.70052,                0.83214,                0.83568,                0.76342,                0.88138,                0.72453,                0.84431,                0.77135,                0.89238,                0.56385,                0.70773,                 1.0761,                0.68922,                0.89486,             0.00066855,             0.00066855,             0.00066855
                    124,                 0.6726,                0.70521,                0.64553,                0.82339,                0.81817,                0.78464,                0.88814,                0.74016,                0.82261,                0.79302,                0.89645,                0.59143,                0.68099,                  1.068,                0.66054,                0.88279,              0.0006603,              0.0006603,              0.0006603
                    125,                0.66712,                0.66471,                0.60933,                0.82316,                0.81817,                0.78464,                0.88814,                0.74016,                0.82261,                0.79302,                0.89645,                0.59143,                0.68099,                  1.068,                0.66054,                0.88279,             0.00065205,             0.00065205,             0.00065205
                    126,                0.70838,                0.78221,                0.63127,                0.83046,                0.80395,                0.78865,                0.88169,                0.73748,                0.80389,                0.79001,                 0.8872,                0.59697,                0.65837,                 1.0814,                0.70018,                0.86842,              0.0006438,              0.0006438,              0.0006438
                    127,                0.63734,                 0.6378,                0.63084,                0.81887,                 0.8315,                0.77502,                0.88215,                0.74153,                0.82332,                0.76708,                0.88378,                0.59973,                0.65117,                 1.0543,                0.70851,                0.86349,             0.00063554,             0.00063554,             0.00063554
                    128,                0.67623,                0.72662,                0.62885,                0.83568,                0.87534,                0.74008,                0.89048,                0.74511,                 0.8899,                0.74048,                0.89616,                0.59807,                 0.6693,                 1.0697,                0.69441,                0.87298,             0.00062729,             0.00062729,             0.00062729
                    129,                0.69846,                0.77311,                0.63006,                0.84417,                0.87534,                0.74008,                0.89048,                0.74511,                 0.8899,                0.74048,                0.89616,                0.59807,                 0.6693,                 1.0697,                0.69441,                0.87298,             0.00061904,             0.00061904,             0.00061904
                    130,                0.69177,                 0.7317,                 0.6268,                0.83462,                 0.8443,                0.78384,                0.90332,                0.75376,                0.85848,                0.77823,                0.90349,                0.61213,                0.66107,                 1.0525,                0.67929,                0.87775,             0.00061079,             0.00061079,             0.00061079
                    131,                0.63146,                0.70349,                0.56843,                0.82696,                0.87773,                  0.771,                0.89791,                 0.7554,                0.88152,                0.77077,                  0.899,                0.60822,                0.65006,                 1.0307,                0.68189,                0.88577,             0.00060254,             0.00060254,             0.00060254
                    132,                0.62885,                0.64047,                 0.6156,                0.82062,                0.87249,                0.78714,                0.89889,                0.76475,                0.87837,                0.77761,                0.89728,                0.60625,                0.63407,                 1.0179,                0.66063,                0.87932,             0.00059429,             0.00059429,             0.00059429
                    133,                0.63303,                0.70021,                0.60803,                0.82606,                0.87249,                0.78714,                0.89889,                0.76475,                0.87837,                0.77761,                0.89728,                0.60625,                0.63407,                 1.0179,                0.66063,                0.87932,             0.00058603,             0.00058603,             0.00058603
                    134,                0.63941,                0.75933,                0.60372,                0.81143,                0.90419,                0.77502,                0.89935,                0.76563,                0.91023,                0.76533,                0.89796,                0.61135,                 0.6413,                 1.0108,                0.64209,                0.87951,             0.00057778,             0.00057778,             0.00057778
                    135,                0.67828,                0.71098,                0.61712,                0.87153,                0.92625,                0.77621,                0.90292,                0.76792,                0.92597,                0.77887,                0.90344,                0.61868,                0.64821,                 1.0024,                0.61244,                0.88384,             0.00056953,             0.00056953,             0.00056953
                    136,                0.68967,                0.74011,                0.60737,                0.86144,                0.92352,                 0.7329,                0.88938,                0.74704,                0.85776,                0.76656,                0.89135,                0.61023,                0.66208,                0.98806,                0.63755,                0.88171,             0.00056128,             0.00056128,             0.00056128
                    137,                0.69503,                0.72639,                0.60859,                 0.8279,                0.92352,                 0.7329,                0.88938,                0.74704,                0.85776,                0.76656,                0.89135,                0.61023,                0.66208,                0.98806,                0.63755,                0.88171,             0.00055303,             0.00055303,             0.00055303
                    138,                0.63601,                0.67263,                0.60279,                0.82018,                0.86336,                0.74329,                0.88987,                0.74266,                0.86001,                0.73879,                0.88184,                0.61028,                0.66822,                 1.0124,                0.64379,                0.88276,             0.00054478,             0.00054478,             0.00054478
                    139,                0.65958,                0.64069,                0.61701,                0.82056,                0.81325,                0.79279,                0.87974,                0.74171,                0.81533,                0.78075,                0.88295,                0.59014,                0.66977,                 1.0589,                0.64879,                0.88124,             0.00053652,             0.00053652,             0.00053652
                    140,                0.67536,                0.80948,                0.62464,                0.84014,                0.80665,                0.81896,                0.89516,                0.74152,                0.80114,                0.81102,                0.88894,                 0.5984,                0.68298,                 1.0884,                0.67848,                0.87691,             0.00052827,             0.00052827,             0.00052827
                    141,                0.67554,                0.70555,                0.61916,                0.85144,                0.80665,                0.81896,                0.89516,                0.74152,                0.80114,                0.81102,                0.88894,                 0.5984,                0.68298,                 1.0884,                0.67848,                0.87691,             0.00052002,             0.00052002,             0.00052002
                    142,                0.64372,                0.66137,                0.60121,                0.82641,                0.88781,                0.77382,                0.90594,                0.75422,                0.87648,                0.76065,                0.90334,                0.60881,                 0.6693,                 1.1114,                0.72345,                0.87431,             0.00051177,             0.00051177,             0.00051177
                    143,                0.65014,                0.64692,                0.57472,                0.83814,                 0.8019,                0.83633,                0.89314,                0.74801,                0.80257,                0.86059,                0.90075,                0.60843,                 0.6593,                 1.1487,                0.74696,                0.88045,             0.00050352,             0.00050352,             0.00050352
                    144,                0.63969,                0.68011,                0.61124,                0.82871,                0.83916,                0.77291,                 0.8868,                0.74781,                0.84486,                0.77208,                0.89311,                0.61305,                0.64283,                 1.1686,                0.73728,                0.88081,             0.00049527,             0.00049527,             0.00049527
                    145,                0.60406,                0.62402,                0.58369,                0.81715,                0.83916,                0.77291,                 0.8868,                0.74781,                0.84486,                0.77208,                0.89311,                0.61305,                0.64283,                 1.1686,                0.73728,                0.88081,             0.00048701,             0.00048701,             0.00048701
                    146,                0.64705,                0.71508,                0.60898,                0.83232,                0.82969,                0.79508,                0.88504,                0.75135,                0.82355,                0.79707,                0.88648,                0.60116,                0.65031,                 1.1742,                0.70617,                0.87919,             0.00047876,             0.00047876,             0.00047876
                    147,                0.69694,                0.75909,                0.64091,                0.84686,                0.78414,                0.85145,                0.87808,                0.73138,                0.78007,                0.84023,                0.87805,                0.58533,                0.67478,                 1.2046,                0.68706,                0.87661,             0.00047051,             0.00047051,             0.00047051
                    148,                 0.6411,                0.67695,                0.62617,                0.81579,                 0.7653,                0.86014,                0.87318,                0.73159,                0.77723,                0.86406,                0.87838,                0.58979,                 0.6788,                 1.2025,                0.68801,                0.87683,             0.00046226,             0.00046226,             0.00046226
                    149,                0.62787,                0.68688,                 0.5771,                 0.8257,                 0.7653,                0.86014,                0.87318,                0.73159,                0.77723,                0.86406,                0.87838,                0.58979,                 0.6788,                 1.2025,                0.68801,                0.87683,             0.00045401,             0.00045401,             0.00045401
                    150,                0.64121,                0.66875,                0.57088,                   0.82,                0.77286,                0.81522,                0.86123,                0.72676,                0.77927,                0.82315,                0.86804,                0.59027,                0.66745,                 1.1677,                0.69738,                0.87508,             0.00044576,             0.00044576,             0.00044576
                    151,                0.67949,                0.78448,                0.61832,                0.83725,                0.82365,                0.80003,                0.87504,                0.73911,                 0.8263,                 0.8071,                0.88418,                0.60133,                0.65009,                  1.099,                0.69195,                0.87578,              0.0004375,              0.0004375,              0.0004375
                    152,                0.61099,                0.69728,                0.55639,                0.82269,                0.82254,                0.81101,                0.89821,                 0.7659,                0.82441,                0.82202,                 0.9079,                0.62261,                0.62638,                 1.1138,                0.66626,                0.87224,             0.00042925,             0.00042925,             0.00042925
                    153,                0.62581,                0.73174,                0.57846,                0.82448,                0.82254,                0.81101,                0.89821,                 0.7659,                0.82441,                0.82202,                 0.9079,                0.62261,                0.62638,                 1.1138,                0.66626,                0.87224,               0.000421,               0.000421,               0.000421
                    154,                0.66327,                0.72368,                0.60249,                0.82681,                0.89072,                0.77864,                0.90412,                0.77543,                0.89526,                0.78261,                0.91508,                0.62767,                0.61719,                 1.1297,                0.64515,                0.86578,             0.00041275,             0.00041275,             0.00041275
                    155,                0.57758,                0.62814,                0.53689,                0.81058,                0.88126,                0.76243,                0.90135,                0.77216,                0.89022,                0.77037,                0.91376,                0.60243,                0.62454,                  1.093,                0.63158,                0.88003,              0.0004045,              0.0004045,              0.0004045
                    156,                 0.6374,                0.71064,                0.57478,                0.82306,                0.90875,                0.75134,                0.89876,                 0.7636,                0.91794,                0.75928,                0.91333,                0.59062,                 0.6474,                  1.084,                0.62957,                0.88351,             0.00039625,             0.00039625,             0.00039625
                    157,                0.59206,                0.62453,                0.55252,                 0.8105,                0.90875,                0.75134,                0.89876,                 0.7636,                0.91794,                0.75928,                0.91333,                0.59062,                 0.6474,                  1.084,                0.62957,                0.88351,             0.00038799,             0.00038799,             0.00038799
                    158,                0.64872,                 0.6494,                0.58772,                0.82866,                0.87012,                0.77697,                0.90022,                0.75409,                0.88193,                0.79402,                0.91445,                0.58357,                0.67516,                 1.0805,                0.63355,                0.88598,             0.00037974,             0.00037974,             0.00037974
                    159,                0.59541,                0.59309,                 0.5557,                0.81919,                0.90599,                0.78451,                0.90979,                0.75801,                0.91016,                0.78662,                0.91171,                0.59016,                0.67452,                 1.0798,                0.62442,                0.88669,             0.00037149,             0.00037149,             0.00037149
                    160,                0.59993,                0.65176,                0.56211,                0.81922,                0.88003,                0.81522,                0.90955,                0.76643,                0.88431,                0.81919,                0.91678,                0.60799,                0.64967,                 1.0619,                0.61092,                0.88257,             0.00036324,             0.00036324,             0.00036324
                    161,                0.61687,                0.65067,                0.53273,                0.80479,                0.88003,                0.81522,                0.90955,                0.76643,                0.88431,                0.81919,                0.91678,                0.60799,                0.64967,                 1.0619,                0.61092,                0.88257,             0.00035499,             0.00035499,             0.00035499
                    162,                0.58122,                0.59628,                0.51568,                0.81323,                0.88614,                0.82329,                0.92059,                0.77737,                0.89257,                0.82904,                0.92655,                0.61946,                0.62592,                 1.0558,                0.61211,                0.87695,             0.00034674,             0.00034674,             0.00034674
                    163,                0.63833,                0.70367,                0.55626,                0.81808,                0.88967,                0.82219,                0.92535,                0.78504,                0.89451,                0.82602,                 0.9251,                0.61838,                0.61864,                 1.0522,                0.61354,                0.87488,             0.00033848,             0.00033848,             0.00033848
                    164,                0.58692,                0.62095,                0.54117,                0.82598,                0.88729,                0.83339,                0.92449,                0.78863,                0.88729,                0.83339,                0.92185,                0.61056,                0.61601,                 1.0536,                0.60688,                0.87559,             0.00033023,             0.00033023,             0.00033023
                    165,                0.60874,                0.67506,                0.52092,                0.82646,                0.88729,                0.83339,                0.92449,                0.78863,                0.88729,                0.83339,                0.92185,                0.61056,                0.61601,                 1.0536,                0.60688,                0.87559,             0.00032198,             0.00032198,             0.00032198
                    166,                0.57922,                0.64806,                0.52728,                0.82016,                0.90189,                0.83765,                0.93036,                0.79046,                0.89807,                0.83765,                0.92503,                 0.6162,                0.62599,                 1.0718,                 0.6104,                0.87687,             0.00031373,             0.00031373,             0.00031373
                    167,                0.62826,                 0.6869,                 0.5491,                0.82692,                0.91281,                0.82965,                0.93029,                0.78671,                0.91033,                0.84264,                0.92727,                0.61721,                0.63456,                 1.0745,                0.60496,                0.88064,             0.00030548,             0.00030548,             0.00030548
                    168,                0.65463,                 0.7208,                0.55382,                0.82442,                0.91303,                 0.8304,                0.93163,                0.78737,                0.90873,                0.82643,                0.92828,                0.63157,                0.63495,                 1.0637,                0.59804,                0.88732,             0.00029723,             0.00029723,             0.00029723
                    169,                0.57545,                0.62108,                0.53102,                0.82294,                0.91303,                 0.8304,                0.93163,                0.78737,                0.90873,                0.82643,                0.92828,                0.63157,                0.63495,                 1.0637,                0.59804,                0.88732,             0.00028897,             0.00028897,             0.00028897
                    170,                0.57613,                0.59621,                0.52939,                 0.8198,                0.91626,                0.83926,                0.93013,                0.79238,                0.91024,                0.83765,                0.93054,                0.62791,                0.64485,                 1.0685,                0.59248,                 0.8914,             0.00028072,             0.00028072,             0.00028072
                    171,                0.58768,                 0.6397,                  0.545,                0.80378,                0.93211,                 0.8185,                0.92694,                 0.7858,                0.92306,                0.81056,                0.92152,                0.61998,                0.65093,                 1.0739,                0.61035,                0.89168,             0.00027247,             0.00027247,             0.00027247
                    172,                0.58574,                0.60506,                0.52097,                0.81748,                0.91969,                0.79538,                0.91879,                0.78322,                0.92624,                0.79934,                0.92146,                0.61263,                0.64455,                 1.0818,                0.62483,                 0.8902,             0.00026422,             0.00026422,             0.00026422
                    173,                0.60076,                 0.6406,                0.52132,                 0.8183,                0.91969,                0.79538,                0.91879,                0.78322,                0.92624,                0.79934,                0.92146,                0.61263,                0.64455,                 1.0818,                0.62483,                 0.8902,             0.00025597,             0.00025597,             0.00025597
                    174,                0.56157,                 0.5855,                 0.4959,                0.81211,                 0.8832,                0.80142,                0.91806,                0.78673,                 0.9162,                0.78509,                0.92088,                0.60593,                0.63421,                 1.0761,                0.64014,                0.88702,             0.00024772,             0.00024772,             0.00024772
                    175,                0.61103,                0.67673,                0.54163,                0.83865,                0.88099,                0.78886,                0.91641,                0.78474,                0.88144,                0.79153,                0.91976,                0.60677,                0.62854,                 1.0696,                0.64129,                 0.8837,             0.00023946,             0.00023946,             0.00023946
                    176,                0.59294,                0.64837,                0.53095,                0.80471,                0.87666,                0.79188,                0.91795,                0.78812,                0.87666,                0.79188,                0.91993,                 0.6116,                0.62767,                 1.0679,                0.63507,                0.88221,             0.00023121,             0.00023121,             0.00023121
                    177,                0.53735,                0.57946,                0.50392,                0.80451,                0.87666,                0.79188,                0.91795,                0.78812,                0.87666,                0.79188,                0.91993,                 0.6116,                0.62767,                 1.0679,                0.63507,                0.88221,             0.00022296,             0.00022296,             0.00022296
                    178,                0.55698,                0.59985,                0.51788,                0.80804,                0.88049,                0.79279,                0.92162,                0.78762,                0.88891,                 0.7875,                0.92211,                0.61392,                0.63332,                 1.0784,                0.64478,                0.88049,             0.00021471,             0.00021471,             0.00021471
                    179,                0.57312,                0.64396,                0.54704,                0.81899,                0.91527,                0.79623,                0.92932,                 0.7844,                0.91088,                0.79203,                0.92677,                0.61814,                0.64128,                 1.0936,                0.62606,                 0.8784,             0.00020646,             0.00020646,             0.00020646
                    180,                0.56878,                0.61111,                 0.4997,                0.80816,                0.87449,                0.83225,                0.93145,                0.79065,                0.87027,                0.82828,                0.92867,                0.61315,                0.63364,                 1.0944,                0.61156,                0.87472,             0.00019821,             0.00019821,             0.00019821
                    181,                0.59139,                0.65615,                0.51312,                 0.8172,                0.87449,                0.83225,                0.93145,                0.79065,                0.87027,                0.82828,                0.92867,                0.61315,                0.63364,                 1.0944,                0.61156,                0.87472,             0.00018995,             0.00018995,             0.00018995
                    182,                0.60052,                0.68133,                0.54189,                 0.8254,                0.87158,                0.84417,                0.93391,                0.79075,                 0.8674,                 0.8402,                0.93116,                0.61964,                0.63125,                 1.0904,                0.59802,                0.87343,              0.0001817,              0.0001817,              0.0001817
                    183,                0.55742,                0.58024,                 0.5282,                 0.7999,                 0.9039,                0.83834,                0.93396,                0.78982,                0.89775,                0.83834,                0.93301,                 0.6169,                0.62581,                 1.0797,                0.58754,                0.87334,             0.00017345,             0.00017345,             0.00017345
                    184,                0.58049,                0.64743,                0.52451,                0.81684,                0.89521,                 0.8304,                0.93171,                0.79036,                0.89447,                0.83052,                0.93108,                0.61963,                0.62171,                 1.0611,                0.58567,                0.87259,              0.0001652,              0.0001652,              0.0001652
                    185,                0.57901,                0.66067,                0.49457,                0.82072,                0.89521,                 0.8304,                0.93171,                0.79036,                0.89447,                0.83052,                0.93108,                0.61963,                0.62171,                 1.0611,                0.58567,                0.87259,             0.00015695,             0.00015695,             0.00015695
                    186,                0.55592,                0.63722,                0.52649,                0.80532,                0.87927,                0.82971,                0.92208,                0.78519,                0.87875,                0.82264,                 0.9242,                0.59549,                0.62848,                  1.056,                0.60252,                0.87458,              0.0001487,              0.0001487,              0.0001487
                    187,                0.56416,                0.61605,                0.50729,                0.81305,                0.87662,                0.82558,                0.91739,                0.78066,                0.87662,                0.82558,                0.92143,                0.60332,                0.62861,                 1.0594,                0.61894,                0.87473,             0.00014044,             0.00014044,             0.00014044
                    188,                 0.5471,                0.63232,                0.49311,                0.80925,                0.82139,                 0.8455,                0.91049,                0.78219,                0.81877,                0.84584,                0.91281,                0.59503,                0.62934,                 1.0548,                0.64095,                0.87574,             0.00013219,             0.00013219,             0.00013219
                    189,                0.55305,                0.57413,                 0.5039,                0.79825,                0.82139,                 0.8455,                0.91049,                0.78219,                0.81877,                0.84584,                0.91281,                0.59503,                0.62934,                 1.0548,                0.64095,                0.87574,             0.00012394,             0.00012394,             0.00012394
                    190,                0.55177,                0.61494,                 0.5185,                0.79614,                0.82013,                0.82177,                0.90525,                0.77231,                0.79987,                 0.8795,                0.90616,                0.59252,                0.62846,                 1.0518,                0.63859,                0.87462,             0.00011569,             0.00011569,             0.00011569
                    191,                0.53725,                0.58417,                0.50613,                0.79624,                0.86856,                0.81284,                0.90506,                0.77513,                0.86384,                0.80887,                0.90704,                0.59635,                0.62507,                 1.0514,                0.62853,                0.87266,             0.00010744,             0.00010744,             0.00010744
                    192,                0.50457,                0.60244,                0.47547,                 0.7892,                 0.8596,                0.81694,                0.91285,                0.77854,                 0.8596,                0.81694,                0.91056,                 0.6028,                0.62223,                 1.0472,                0.61844,                 0.8709,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    193,                0.49224,                0.57721,                0.47707,                0.80227,                 0.8596,                0.81694,                0.91285,                0.77854,                 0.8596,                0.81694,                0.91056,                 0.6028,                0.62223,                 1.0472,                0.61844,                 0.8709,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    194,                  0.497,                0.56935,                0.45546,                0.80698,                0.89109,                0.80079,                0.91792,                0.78218,                 0.8948,                  0.804,                0.91947,                0.60829,                0.61647,                  1.042,                0.60337,                0.87009,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    195,                0.50729,                 0.5584,                0.48415,                0.81151,                0.88249,                0.82949,                0.92361,                0.78124,                0.88105,                0.82413,                0.92032,                0.61215,                0.61289,                 1.0442,                0.59497,                 0.8705,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    196,                0.51098,                0.56751,                0.47608,                0.81422,                0.88805,                0.83437,                0.92597,                0.78415,                0.88553,                 0.8304,                0.92286,                0.61567,                0.60955,                 1.0394,                 0.5892,                0.87188,              6.618e-05,              6.618e-05,              6.618e-05
                    197,                0.49525,                0.55675,                0.46922,                0.79214,                0.88805,                0.83437,                0.92597,                0.78415,                0.88553,                 0.8304,                0.92286,                0.61567,                0.60955,                 1.0394,                 0.5892,                0.87188,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    198,                0.47471,                0.54204,                0.45149,                0.80993,                0.88989,                0.83437,                0.92751,                 0.7858,                 0.8856,                 0.8304,                0.92462,                0.60995,                0.61015,                 1.0407,                0.58865,                0.87253,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    199,                0.49127,                0.57435,                0.46909,                0.80295,                0.89583,                0.83974,                0.92713,                0.78961,                0.89153,                0.83577,                 0.9242,                0.61548,                0.60991,                 1.0421,                0.58793,                0.87237,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    200,                0.50214,                0.57169,                0.45748,                0.79569,                0.89341,                0.83437,                0.92697,                0.79056,                0.88911,                 0.8304,                 0.9247,                0.61423,                 0.6089,                 1.0441,                0.59106,                0.87166,             3.3173e-05,             3.3173e-05,             3.3173e-05
