                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.8939,                 1.8404,                 1.2173,                0.01834,                0.14458,                0.02084,                0.00907,                 2.6537,                 3.6025,                 1.5989,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.9453,                 1.8473,                 1.1582,                0.05257,                0.27916,                0.04831,                0.02282,                 2.3462,                 3.3432,                 1.4489,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.8717,                 1.8655,                  1.178,                0.07792,                0.39389,                0.07281,                0.03643,                 2.1574,                 3.1373,                 1.3575,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.6475,                 1.6862,                 1.0972,                0.07615,                0.55487,                0.09794,                0.05682,                 1.9561,                 2.8269,                 1.2896,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.5559,                 1.7584,                 1.0766,                0.07615,                0.55487,                0.09794,                0.05682,                 1.9561,                 2.8269,                 1.2896,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.6821,                  1.713,                  1.096,                0.19289,                0.45117,                0.15854,                 0.0893,                 1.9052,                 2.4545,                 1.2714,              0.0010069,              0.0010069,              0.0010069
                     43,                  1.825,                 1.8061,                 1.1534,                0.28306,                0.44324,                0.22972,                0.13009,                 1.7939,                  2.057,                 1.2314,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.8751,                 1.8526,                 1.1214,                0.29461,                0.52105,                0.28598,                0.16509,                 1.6321,                 1.8563,                 1.1982,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.8792,                 1.8154,                 1.1608,                0.29461,                0.52105,                0.28598,                0.16509,                 1.6321,                 1.8563,                 1.1982,             0.00095736,             0.00095736,             0.00095736
                     46,                  1.613,                 1.6563,                 1.0578,                0.30148,                0.61999,                0.33982,                0.19731,                 1.6286,                  1.778,                 1.1841,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.8253,                 1.7683,                 1.1691,                0.31624,                0.63392,                0.35689,                0.16798,                 1.9334,                 1.7957,                 1.2433,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.7728,                 1.7491,                 1.1199,                 0.3034,                0.65373,                0.33327,                0.14806,                 2.0059,                  1.792,                 1.2625,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.6464,                 1.6811,                 1.0906,                 0.3034,                0.65373,                0.33327,                0.14806,                 2.0059,                  1.792,                 1.2625,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.6096,                 1.9447,                 1.1084,                0.27513,                0.62526,                0.31003,                 0.1662,                 1.8029,                 1.8792,                 1.2077,             0.00087484,             0.00087484,             0.00087484
                     51,                  1.527,                 1.8276,                 1.0774,                0.34565,                0.53088,                0.36788,                0.22691,                 1.5694,                 1.7721,                 1.1715,             0.00085834,             0.00085834,             0.00085834
